name,yes
Alameda,14.7%
Alpine,36.0%
Amador,59.1%
Butte,47.2%
Calaveras,58.4%
Colusa,53.5%
Contra Costa,24.9%
Del Norte,53.7%
El Dorado,52.6%
Fresno,43.9%
Glenn,61.1%
Humboldt,31.0%
Imperial,26.4%
Inyo,52.5%
Kern,53.1%
Kings,53.3%
Lake,43.3%
Lassen,72.0%
Los Angeles,22.4%
Madera,54.2%
Marin,15.6%
Mariposa,58.4%
Mendocino,29.1%
Merced,40.6%
Modoc,71.2%
Mono,40.0%
Monterey,26.2%
Napa,28.4%
Nevada,42.5%
Orange,42.3%
Placer,52.0%
Plumas,56.0%
Riverside,44.4%
Sacramento,33.9%
San Benito,35.8%
San Bernardino,41.5%
San Diego,36.6%
San Francisco,9.3%
San Joaquin,39.7%
San Luis Obispo,41.6%
San Mateo,18.4%
Santa Barbara,31.9%
Santa Clara,20.6%
Santa Cruz,17.4%
Shasta,64.7%
Sierra,57.3%
Siskiyou,55.3%
Solano,31.3%
Sonoma,22.2%
Stanislaus,45.6%
Sutter,54.2%
Tehama,64.8%
Trinity,49.5%
Tulare,51.9%
Tuolumne,57.0%
Ventura,37.6%
Yolo,25.3%
Yuba,57.3%
