name,yes
Alameda,68.5%
Alpine,57.6%
Amador,42.6%
Butte,47.7%
Calaveras,43.6%
Colusa,45.2%
Contra Costa,62.8%
Del Norte,43.7%
El Dorado,46.4%
Fresno,55.5%
Glenn,37.9%
Humboldt,53.7%
Imperial,59.9%
Inyo,43.2%
Kern,50.2%
Kings,49.6%
Lake,45.7%
Lassen,40.0%
Los Angeles,60.8%
Madera,47.2%
Marin,62.8%
Mariposa,43.9%
Mendocino,53.4%
Merced,52.3%
Modoc,40.0%
Mono,45.0%
Monterey,62.8%
Napa,52.1%
Nevada,45.9%
Orange,48.7%
Placer,47.1%
Plumas,42.3%
Riverside,54.7%
Sacramento,57.1%
San Benito,57.1%
San Bernardino,52.7%
San Diego,52.7%
San Francisco,72.9%
San Joaquin,55.4%
San Luis Obispo,51.3%
San Mateo,63.3%
Santa Barbara,55.1%
Santa Clara,61.6%
Santa Cruz,62.9%
Shasta,40.7%
Sierra,41.1%
Siskiyou,38.4%
Solano,56.6%
Sonoma,58.5%
Stanislaus,52.6%
Sutter,47.5%
Tehama,39.2%
Trinity,39.9%
Tulare,49.5%
Tuolumne,44.2%
Ventura,53.5%
Yolo,62.2%
Yuba,44.1%
