name,yes
Alameda,74.2%
Alpine,55.7%
Amador,38.9%
Butte,48.8%
Calaveras,38.6%
Colusa,39.0%
Contra Costa,60.6%
Del Norte,46.5%
El Dorado,38.4%
Fresno,48.0%
Glenn,37.8%
Humboldt,64.1%
Imperial,59.7%
Inyo,41.7%
Kern,41.6%
Kings,41.8%
Lake,51.6%
Lassen,37.9%
Los Angeles,60.4%
Madera,40.1%
Marin,68.6%
Mariposa,38.0%
Mendocino,63.1%
Merced,53.1%
Modoc,30.6%
Mono,51.0%
Monterey,65.9%
Napa,59.4%
Nevada,46.2%
Orange,41.3%
Placer,40.0%
Plumas,40.8%
Riverside,45.9%
Sacramento,56.4%
San Benito,58.8%
San Bernardino,47.4%
San Diego,47.7%
San Francisco,77.2%
San Joaquin,52.9%
San Luis Obispo,53.9%
San Mateo,64.7%
Santa Barbara,57.5%
Santa Clara,63.2%
Santa Cruz,73.8%
Shasta,38.6%
Sierra,38.8%
Siskiyou,40.5%
Solano,59.6%
Sonoma,66.6%
Stanislaus,54.2%
Sutter,38.9%
Tehama,37.7%
Trinity,46.4%
Tulare,41.8%
Tuolumne,41.8%
Ventura,50.3%
Yolo,64.8%
Yuba,38.7%
